Ngành,Chỉ số,2021,2022,2023,2024
Bảo hiểm phi nhân thọ,ROA (%),0.0426639661,0.0269135364,0.0377705264,0.0326154924
Bảo hiểm phi nhân thọ,Số ngày thu tiền bình quân,282.0319269761,305.6297643468,274.1052653519,302.5957332784
Bảo hiểm phi nhân thọ,Số ngày tồn kho bình quân,0.0,0.0,0.0,0.0
Bảo hiểm phi nhân thọ,Chỉ số thanh toán nhanh,1.2743205163,1.2496454699,1.2385300299,1.2015665966
Bảo hiểm phi nhân thọ,Số ngày thanh toán bình quân,0.0,0.0,0.0,0.0
Bảo hiểm phi nhân thọ,Biên lợi nhuận gộp (%),0.0,0.0,0.0,0.0
Bảo hiểm phi nhân thọ,Biên EBIT (%),-0.1475619239,-0.123900608,-0.1256018103,-0.1243378678
Bảo hiểm phi nhân thọ,Biên lợi nhuận ròng (%),0.1247446204,0.088489064,0.1034183245,0.0905336349
Bảo hiểm phi nhân thọ,Chỉ số thanh toán hiện thời,1.2752202132,1.2500637964,1.2388304241,1.2020169341
Bảo hiểm phi nhân thọ,Quay vòng tài sản,0.4073453607,0.4118447822,0.4303620562,0.4033828596
Bảo hiểm phi nhân thọ,(Vay NH + DH)/VCSH,0.0224293391,0.0036897691,0.1090106062,0.0828891034
Bảo hiểm phi nhân thọ,ROIC (%),0.1550684185,0.1729950496,0.1690186212,0.1145750353
Bảo hiểm phi nhân thọ,Vòng quay TSCĐ,0.0,0.0,0.0,0.0
Tư vấn & Hỗ trợ Kinh doanh,Chu kỳ tiền,42.3676538158,92.9095112801,112.1107029031,43.4686498458
Tư vấn & Hỗ trợ Kinh doanh,Tăng trưởng lợi nhuận (%),2.3292139284989193,-0.7665239772141433,0.31906574470208726,0.19263124129040649
Tư vấn & Hỗ trợ Kinh doanh,Lợi nhuận sau thuế của Cổ đông công ty mẹ,2072232431605.0,483816586419.0,638185885864.0,761120425232.0
Tư vấn & Hỗ trợ Kinh doanh,Tăng trưởng doanh thu (%),0.02148306445313946,-0.31826092067657263,-0.052182525264987734,0.18108364294649168
Tư vấn & Hỗ trợ Kinh doanh,Doanh thu,6529622580907.0,4451498886637.0,4219208433518.0,4983238067010.0
Tư vấn & Hỗ trợ Kinh doanh,Vốn hóa,15173503525169.0,6265065084550.0,9298540035379.0,8564332154583.0
Tư vấn & Hỗ trợ Kinh doanh,EPS (VND),6013.119409086348,1182.8127253764067,1557.3125163303946,1857.299559428205
